timestamp;robot_imu_accelerometer;robot_imu_gyroscope;robot_linear_velocity;robot_angular_velocity;battery_percentage
1743584337;0,150835|-0,131083|10,044274;-0,000266|-0,000399|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584337;0,141856|-0,134674|10,030508;-0,000399|0,000133|0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584337;0,161010|-0,144251|10,042479;0,000000|0,000133|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584337;0,146046|-0,131083|10,033501;0,000000|0,000000|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584337;0,140659|-0,137667|10,040085;0,000666|0,000133|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584338;0,151433|-0,135871|10,045471;-0,000266|0,000666|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584338;0,150835|-0,137667|10,047866;0,000666|0,000799|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584338;0,158017|-0,136469|10,030508;0,000266|0,000133|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584338;0,146645|-0,146645|10,036493;-0,000266|-0,000932|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584338;0,151433|-0,141856|10,037092;0,000266|0,000666|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584338;0,150835|-0,141856|10,035894;0,000133|-0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584338;0,144849|-0,138864|10,035894;-0,000133|-0,000399|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584338;0,152630|-0,152032|10,033501;0,000533|-0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584338;0,147842|-0,142455|10,037690;0,000000|0,000533|0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584338;0,150236|-0,129885|10,035894;-0,000399|-0,000133|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584339;0,142455|-0,149039|10,041881;0,000133|0,000000|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584339;0,138864|-0,135272|10,030508;-0,000399|0,000533|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584339;0,152032|-0,153229|10,038888;0,000133|0,000133|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584339;0,160412|-0,134075|10,027515;0,000000|-0,000666|-0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584339;0,138864|-0,139462|10,028113;0,000000|0,000399|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584339;0,150835|-0,138864|10,038289;-0,001332|0,000533|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584339;0,147842|-0,140061|10,028113;0,000000|0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584339;0,143054|-0,137068|10,034698;-0,000266|0,000000|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584339;0,143054|-0,135272|10,037690;0,000133|0,000133|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584339;0,150236|-0,130484|10,044274;0,000399|0,000799|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584340;0,155025|-0,144251|10,034698;-0,000133|0,000000|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584340;0,148441|-0,150236|10,038888;0,000133|-0,000666|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584340;0,153229|-0,126893|10,045471;0,000266|-0,000799|0,000399;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584340;0,144849|-0,129287|10,035894;0,000133|0,000266|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584340;0,138864|-0,139462|10,028113;0,000399|-0,000266|0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584340;0,147243|-0,144251|10,036493;-0,001065|-0,000133|0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584340;0,156820|-0,142455|10,032304;0,000133|0,000666|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584340;0,144251|-0,141856|10,035894;0,000000|-0,000266|0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584340;0,147243|-0,138265|10,031106;-0,000533|0,000799|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584340;0,145448|-0,137667|10,028113;-0,000533|0,000399|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584341;0,155025|-0,133477|10,032304;-0,000133|0,000133|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584341;0,144251|-0,143054|10,038289;-0,000266|-0,000666|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584341;0,156820|-0,138864|10,041282;0,000266|0,000266|0,000799;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584341;0,141258|-0,132280|10,036493;0,000000|-0,000266|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584341;0,146046|-0,149039|10,031705;-0,000133|0,000000|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584341;0,155025|-0,142455|10,028712;-0,001198|-0,000666|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584341;0,149638|-0,139462|10,032902;0,000533|0,000533|-0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584341;0,146645|-0,131681|10,037690;0,000000|0,000266|0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584341;0,138864|-0,140659|10,031106;0,000000|0,000133|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584341;0,149638|-0,140659|10,040085;-0,000399|-0,000666|0,000133;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584342;0,147243|-0,144251|10,034100;-0,000399|0,000133|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584342;0,150236|-0,138864|10,031705;-0,000399|-0,000399|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584342;0,144251|-0,140659|10,031705;0,000000|-0,000932|-0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584342;0,148441|-0,143652|10,043676;0,000000|-0,000666|0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584342;0,141258|-0,137667|10,017939;0,000799|-0,001065|0,000666;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584342;0,144849|-0,146046|10,026318;-0,000133|0,000533|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584342;0,149638|-0,145448|10,027515;0,000000|0,000000|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584342;0,143054|-0,137667|10,034698;-0,000266|0,000000|0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584342;0,150835|-0,150236|10,047866;0,000266|0,000399|-0,000266;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584342;0,154426|-0,146046|10,036493;-0,000266|0,000533|-0,000533;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
1743584343;0,158017|-0,135871|10,038888;0,000000|-0,000666|0,000000;-0,000000|0,000000|0,000000;0,000000|0,000000|-0,000000;74,000000;
